iter	Passed	Remaining
0	5	498
1	7	358
2	9	303
3	11	269
4	12	244
5	14	228
6	16	217
7	18	210
8	21	214
9	22	205
10	24	200
11	26	193
12	27	187
13	30	184
14	32	182
15	34	179
16	36	175
17	37	172
18	39	169
19	41	166
20	43	164
21	45	161
22	47	158
23	48	155
24	50	152
25	52	149
26	55	150
27	57	148
28	59	146
29	61	144
30	63	141
31	65	139
32	67	136
33	69	134
34	71	132
35	73	130
36	75	128
37	76	125
38	78	122
39	80	120
40	82	118
41	85	117
42	87	115
43	88	112
44	90	110
45	92	108
46	94	106
47	96	104
48	98	102
49	100	100
50	101	97
51	103	95
52	105	93
53	107	91
54	109	89
55	111	87
56	112	85
57	114	83
58	116	80
59	119	79
60	121	77
61	123	75
62	124	73
63	126	71
64	128	69
65	131	67
66	133	65
67	135	63
68	137	61
69	139	59
70	141	57
71	142	55
72	144	53
73	146	51
74	148	49
75	150	47
76	152	45
77	153	43
78	157	41
79	158	39
80	160	37
81	162	35
82	163	33
83	165	31
84	168	29
85	170	27
86	171	25
87	173	23
88	174	21
89	176	19
90	177	17
91	179	15
92	182	13
93	183	11
94	185	9
95	187	7
96	188	5
97	190	3
98	193	1
99	195	0
